Respondent_ID;Age;Fishing Experience;Province;Beach;Fishing Role;Experience as Head of Communities;Boat Type;Fishing Duration;Usage of LIK;Benefit from LIK;Experience with Disaster;Number of Experience with Disaster;Usage of ICT;BMKG;Radio;Cuaca;GPS;Fish Finder;MSW Paris;Radar Kapal;Surf Parangtritis;Windy;Benefit from ICT;B.1;B.2;B.3;B.4;B.5;B.6;Level of Interaction with Disaster;LIK Combination;C-1;Cr-1;Cr-2;Cr-3;Cr-4;Td-1;Td-2;Td-3;Ts-1;Ts-2;Ts-3;Ts-4;Ts-5;Ts-6;Ts-7;Wn-1;Wn-10;Wn-11;Wn-12;Wn-13;Wn-14;Wn-15;Wn-16;Wn-17;Wn-2;Wn-3;Wn-4;Wn-5;Wn-6;Wn-7;Wn-8;Wn-9;Wth-1;Wth-2;Wv-1;Wv-2;Wv-3;Number of LIK Combination;Usage Persistance;Usage Duration;Frequency of Usage (min) (in month);Frequency of Usage (max) (in month);Average Frequency of Usage (in month);Number of Prediction Made (the last month, except tsunami);Disaster Happen (the last month, except tsunami);Perceived of Accuracy;Action Anticipation (Respon based on LIK codes)
1;20;2;1;1;1;0;4;1;1;1;B.1, B.3, B.6;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;Ts-1, Ts-2, Ts-4, Ts-5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;15;30;30;30;1;1;100;Ts-1: Be careful
1;20;2;1;1;1;0;4;1;1;1;B.1, B.3, B.6;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;Ts-1, Ts-2, Ts-4, Ts-5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;15;30;30;30;1;1;100;Ts-2: Run to high place
1;20;2;1;1;1;0;4;1;1;1;B.1, B.3, B.6;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;Ts-1, Ts-2, Ts-4, Ts-5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;15;30;30;30;1;1;100;Ts-4: Run to high place
1;20;2;1;1;1;0;4;1;1;1;B.1, B.3, B.6;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;Ts-1, Ts-2, Ts-4, Ts-5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;15;30;30;30;1;1;100;Ts-5: Move away from beach
1;20;2;1;1;1;0;4;1;1;1;B.1, B.3, B.6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;Wv-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;2;5;3,5;15;11;73,33333333;Wv-1: Adjust fishing equipment
1;20;2;1;1;1;0;4;1;1;1;B.1, B.3, B.6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;Td-1, Td-2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;8;20;14;20;10;50;Td-1: Adjust fishing time
1;20;2;1;1;1;0;4;1;1;1;B.1, B.3, B.6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;Td-1, Td-2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;8;20;14;20;10;50;Td-2: Be careful
2;22;7;1;1;1;0;4;1;1;1;B.3;1;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;Wv-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;7;3;5;4;5;4;80;Wv-1: Adjust fishing time
3;23;3;1;1;1;0;4;1;1;1;B.2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;Wn-3, Wn-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;3;3;4;3,5;25;20;80;Wn-3: Adjust fishing time
3;23;3;1;1;1;0;4;1;1;1;B.2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;Wn-3, Wn-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;3;3;4;3,5;25;20;80;Wn-4: Adjust fishing time
