Age,Fishing Experience,Province,Fishing Role,Experience as Head of Communities,Fishing Duration,Number of Experience with Disaster,Level of Interaction with Disaster,Wn-1,Wn-10,Wn-11,Wn-12,Wn-13,Wn-14,Wn-15,Wn-16,Wn-17,Wn-2,Wn-3,Wn-4,Wn-5,Wn-6,Wn-7,Wn-8,Wn-9,Number of LIK Combination,Usage Duration,Frequency of Usage (min) (in month),Frequency of Usage (max) (in month),Average Frequency of Usage (in month),Target_Action_Level
23,3,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,3.0,4.0,3.5,1
23,3,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,3.0,4.0,3.5,1
24,2,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,16.0,20.0,18.0,1
24,2,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,16.0,20.0,18.0,1
24,2,1,1,0,1,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,16.0,20.0,18.0,0
24,2,1,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3.0,4.0,3.5,1
24,5,1,1,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,5.0,7.0,6.0,1
24,5,1,1,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5.0,7.0,6.0,1
24,5,1,1,0,1,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,5.0,7.0,6.0,0
26,3,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,3.0,3.0,3.0,0
26,3,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,3.0,3.0,3.0,0
26,3,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,3.0,3.0,3.0,1
26,7,1,1,0,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,16.0,20.0,18.0,0
27,4,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,2.0,2.0,2.0,1
27,4,1,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2.0,2.0,2.0,0
27,4,1,1,0,1,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,5,16.0,20.0,18.0,1
27,4,1,1,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,16.0,20.0,18.0,1
27,4,1,1,0,1,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,16.0,20.0,18.0,0
27,5,1,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,16.0,20.0,18.0,1
27,5,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5,16.0,20.0,18.0,1
27,5,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,16.0,20.0,18.0,0
27,5,1,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5,16.0,20.0,18.0,1
27,5,1,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,5,16.0,20.0,18.0,1
27,5,1,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,16.0,20.0,18.0,0
28,4,1,1,0,1,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,16.0,20.0,18.0,1
28,4,1,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,16.0,20.0,18.0,1
28,4,1,1,0,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,16.0,20.0,18.0,0
28,5,1,1,0,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,16.0,20.0,18.0,1
28,5,1,1,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,6,16.0,20.0,18.0,1
28,5,1,1,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,6,16.0,20.0,18.0,0
28,6,1,1,0,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,16.0,24.0,20.0,1
28,6,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,6,16.0,24.0,20.0,1
28,7,1,1,0,1,3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,24.0,28.0,26.0,1
28,7,1,1,0,1,3,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,7,24.0,28.0,26.0,1
28,7,1,1,0,1,3,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,7,24.0,28.0,26.0,0
28,8,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,2.0,5.0,3.5,1
28,8,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,2.0,5.0,3.5,1
29,5,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,6,1.0,2.0,1.5,0
29,5,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,6,1.0,2.0,1.5,0
29,6,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5.0,5.0,5.0,1
29,6,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,5.0,5.0,5.0,0
29,6,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,7,5.0,5.0,5.0,1
29,7,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,20.0,28.0,24.0,1
29,7,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,7,20.0,28.0,24.0,1
29,7,1,1,0,1,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,7,20.0,28.0,24.0,0
29,8,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,3.0,4.0,3.5,0
29,8,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,3.0,4.0,3.5,1
29,8,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,8,5.0,7.0,6.0,1
29,8,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,5.0,7.0,6.0,1
29,8,1,1,0,1,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5.0,7.0,6.0,0
29,9,1,1,0,1,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,16.0,20.0,18.0,1
29,9,1,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,9,16.0,20.0,18.0,1
29,9,1,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9,16.0,20.0,18.0,0
29,10,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,10,1.0,2.0,1.5,0
29,10,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,1.0,2.0,1.5,1
29,10,1,1,0,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,16.0,20.0,18.0,0
29,13,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,8.0,12.0,10.0,1
29,13,1,1,0,1,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,8.0,12.0,10.0,0
30,7,1,1,0,1,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,8,20.0,32.0,26.0,1
30,7,1,1,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,8,20.0,32.0,26.0,0
30,7,1,1,0,1,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,20.0,32.0,26.0,0
30,12,1,1,0,1,2,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,12,16.0,20.0,18.0,1
30,12,1,1,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,12,16.0,20.0,18.0,1
30,12,1,1,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,16.0,20.0,18.0,0
31,7,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,8,4.0,5.0,4.5,0
31,7,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,8,4.0,5.0,4.5,1
31,7,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,8,4.0,5.0,4.5,0
31,10,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,10,3.0,3.0,3.0,0
31,10,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,3.0,3.0,3.0,1
31,10,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,1.0,2.0,1.5,0
31,10,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,10,1.0,2.0,1.5,0
31,10,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,10,1.0,2.0,1.5,1
33,6,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3.0,3.0,3.0,1
33,6,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,3.0,3.0,3.0,1
33,9,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,10,2.0,3.0,2.5,0
33,9,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,2.0,3.0,2.5,1
33,9,1,1,0,1,2,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,10,16.0,20.0,18.0,1
33,9,1,1,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,10,16.0,20.0,18.0,1
33,9,1,1,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,16.0,20.0,18.0,0
33,10,1,3,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2.0,3.0,2.5,1
33,10,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,2.0,3.0,2.5,0
33,10,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,10,2.0,3.0,2.5,1
34,7,1,3,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2.0,2.0,2.0,1
34,7,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,2.0,2.0,2.0,0
34,7,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,7,2.0,2.0,2.0,0
