,Age,Fishing Experience,Province,Fishing Role,Experience as Head of Communities,Fishing Duration,Number of Experience with Disaster,Level of Interaction with Disaster,Wn-1,Wn-10,Wn-11,Wn-12,Wn-13,Wn-14,Wn-15,Wn-16,Wn-17,Wn-2,Wn-3,Wn-4,Wn-5,Wn-6,Wn-7,Wn-8,Wn-9,Number of LIK Combination,Usage Duration,Frequency of Usage (min) (in month),Frequency of Usage (max) (in month),Average Frequency of Usage (in month),Action Anticipation (Respon based on LIK codes)
8,23,3,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,3.0,4.0,"3,5",Wn-3: Adjust fishing time
9,23,3,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,3.0,4.0,"3,5",Wn-4: Adjust fishing time
10,24,2,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,16.0,20.0,18,Wn-3: Adjust fishing time
11,24,2,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,16.0,20.0,18,Wn-8: Repair boat
12,24,2,1,1,0,1,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,16.0,20.0,18,Wn-11: Be careful
14,24,2,1,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3.0,4.0,"3,5",Wn-1: Stay alert/retrieve fishing gear
18,24,5,1,1,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,5.0,7.0,6,Wn-8: Adjust fishing time
19,24,5,1,1,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5.0,7.0,6,Wn-12: Repair boat
20,24,5,1,1,0,1,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,5.0,7.0,6,Wn-15: Be careful
29,26,3,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,3.0,3.0,3,Wn-3: Be careful
30,26,3,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,3.0,3.0,3,Wn-7: No action
31,26,3,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,3.0,3.0,3,Wn-8: Stay alert/retrieve fishing gear
35,26,7,1,1,0,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,16.0,20.0,18,Wn-14: Be careful
39,27,4,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,2.0,2.0,2,Wn-8: Adjust fishing time
40,27,4,1,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2.0,2.0,2,Wn-10: Be careful
42,27,4,1,1,0,1,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,5,16.0,20.0,18,Wn-2: Adjust fishing time
43,27,4,1,1,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,16.0,20.0,18,Wn-7: Repair boat
44,27,4,1,1,0,1,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,16.0,20.0,18,Wn-14: Be careful
51,27,5,1,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,16.0,20.0,18,Wn-1: Adjust fishing time
52,27,5,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5,16.0,20.0,18,Wn-3: Repair boat
